text;language;label;cleaned_text;tokens
كلية الآداب;arabic;clean;كليه الاداب;['كليه', 'الاداب']
Capstone Project / Graduation Project;english;clean;capstone project graduation project;['capstone', 'project', 'graduation', 'project']
اشتغلت على مشروع كبير، اتعلمت ازاي أركز على التفاصيل الصغيرة لأنها بتفرق جدًا في النتيجة النهائية.;arabic;clean;اشتغلت علي مشروع كبير اتعلمت ازاي اركز علي التفاصيل الصغيره لانها بتفرق جدا النتيجه النهاييه;['اشتغلت', 'علي', 'مشروع', 'كبير', 'اتعلمت', 'ازاي', 'اركز', 'علي', 'التفاصيل', 'الصغيره', 'لانها', 'بتفرق', 'جدا', 'النتيجه', 'النهاييه']
نجاح الفريق;arabic;clean;نجاح الفريق;['نجاح', 'الفريق']
مهارات تطبيق;arabic;clean;مهارات تطبيق;['مهارات', 'تطبيق']
How does international experience influence a career path?;english;clean;international experience influence career path;['international', 'experience', 'influence', 'career', 'path']
اتواصل معايا;arabic;clean;اتواصل معايا;['اتواصل', 'معايا']
Gain practical experience alongside theoretical study.;english;clean;gain practical experience alongside theoretical study;['gain', 'practical', 'experience', 'alongside', 'theoretical', 'study']
Master's Degree;english;clean;masters degree;['masters', 'degree']
englishvironmenglisht;english;clean;englishvironmenglisht;['englishvironmenglisht']
Poster Presenglishtation;english;clean;poster presenglishtation;['poster', 'presenglishtation']
خلال التدريب اتعلمت ازاي أطبق المعرفة النظرية في المواقف العملية.;arabic;clean;خلال التدريب اتعلمت ازاي اطبق المعرفه النظريه المواقف العمليه;['خلال', 'التدريب', 'اتعلمت', 'ازاي', 'اطبق', 'المعرفه', 'النظريه', 'المواقف', 'العمليه']
ما أهم النصائح من محترفين في مجالات مختلفة لتعزيز النجاح المهني؟;arabic;clean;اهم النصايح محترفين مجالات مختلفه لتعزيز النجاح المهني;['اهم', 'النصايح', 'محترفين', 'مجالات', 'مختلفه', 'لتعزيز', 'النجاح', 'المهني']
المهارات العملية بتفيد في أي وظيفة;arabic;clean;المهارات العمليه بتفيد اي وظيفه;['المهارات', 'العمليه', 'بتفيد', 'اي', 'وظيفه']
successfully completed;english;clean;successfully completed;['successfully', 'completed']
goal sharing;english;clean;goal sharing;['goal', 'sharing']
موجه نحو النتائج;arabic;clean;موجه النتايج;['موجه', 'النتايج']
وحدة معالجة مركزية;arabic;clean;وحده معالجه مركزيه;['وحده', 'معالجه', 'مركزيه']
Use digital tools to help organize tasks.;english;clean;use digital tools help organize tasks;['use', 'digital', 'tools', 'help', 'organize', 'tasks']
التواصل مع الفريق بيعلمنا مهارات جديدة;arabic;clean;التواصل الفريق بيعلمنا مهارات جديده;['التواصل', 'الفريق', 'بيعلمنا', 'مهارات', 'جديده']
digital receiver;english;clean;digital receiver;['digital', 'receiver']
Performance monitor;english;clean;performance monitor;['performance', 'monitor']
تحديات بداية المسار المهني;arabic;clean;تحديات بدايه المسار المهني;['تحديات', 'بدايه', 'المسار', 'المهني']
ازاي اتعامل مع النزاعات في الشغل؟;arabic;clean;ازاي اتعامل النزاعات الشغل;['ازاي', 'اتعامل', 'النزاعات', 'الشغل']
تطوير مهني;arabic;clean;تطوير مهني;['تطوير', 'مهني']
كنت بحاول أفهم دوافع زملائي قبل ما أحكم عليهم.;arabic;clean;كنت بحاول افهم دوافع زملايي احكم عليهم;['كنت', 'بحاول', 'افهم', 'دوافع', 'زملايي', 'احكم', 'عليهم']
المشروع ممتاز جدًا، كل خطوة واضحة ومرتبة، الأدوات متاحة ومفيدة، الشرح سلس ومباشر، والفريق متعاون وودود، حسيت إن كل شخص طموح ومبتكر وملتزم بتعلم كل المهارات العملية، وكمان البيئة التعليمية تشجع أي شخص على التطبيق العملي.;arabic;clean;المشروع ممتاز جدا خطوه واضحه ومرتبه الادوات متاحه ومفيده الشرح سلس ومباشر والفريق متعاون وودود حسيت ان شخص طموح ومبتكر وملتزم بتعلم المهارات العمليه وكمان البييه التعليميه تشجع اي شخص علي التطبيق العملي;['المشروع', 'ممتاز', 'جدا', 'خطوه', 'واضحه', 'ومرتبه', 'الادوات', 'متاحه', 'ومفيده', 'الشرح', 'سلس', 'ومباشر', 'والفريق', 'متعاون', 'وودود', 'حسيت', 'ان', 'شخص', 'طموح', 'ومبتكر', 'وملتزم', 'بتعلم', 'المهارات', 'العمليه', 'وكمان', 'البييه', 'التعليميه', 'تشجع', 'اي', 'شخص', 'علي', 'التطبيق', 'العملي']
الصحة,فني مختبر;arabic;clean;الصحهفني مختبر;['الصحهفني', 'مختبر']
احرص على تطوير علاقاتك المهنية والشخصية فهي تدعم مسارك نحو النجاح;arabic;clean;احرص علي تطوير علاقاتك المهنيه والشخصيه فهي تدعم مسارك النجاح;['احرص', 'علي', 'تطوير', 'علاقاتك', 'المهنيه', 'والشخصيه', 'فهي', 'تدعم', 'مسارك', 'النجاح']
Why is continuous professional development important?;english;clean;continuous professional development important;['continuous', 'professional', 'development', 'important']
Email;english;clean;email;['email']
temporary;english;clean;temporary;['temporary']
brainstorm;english;clean;brainstorm;['brainstorm']
معدل / متوسط;arabic;clean;معدل متوسط;['معدل', 'متوسط']
الإنفتاح;arabic;clean;الانفتاح;['الانفتاح']
التعرف على الصوت;arabic;clean;التعرف علي الصوت;['التعرف', 'علي', 'الصوت']
متعصب;arabic;toxic;متعصب;['متعصب']
Forward-looking;english;clean;forwardlooking;['forwardlooking']
إعداد العقد يحتاج لموافقة الإدارة.;arabic;clean;اعداد العقد يحتاج لموافقه الاداره;['اعداد', 'العقد', 'يحتاج', 'لموافقه', 'الاداره']
مزعج;arabic;toxic;مزعج;['مزعج']
eltzab;mixed;clean;eltzab;['eltzab']
العمل التطوعي;arabic;clean;العمل التطوعي;['العمل', 'التطوعي']
يا جماعة، هل التدريب قبل التخرج فعلاً بيسهل الحصول على وظيفة بعد التخرج؟ وإيه المجالات اللي شايفين إنها محتاجة تدريب أكتر؟ وهل لاحظتوا فرق بين الناس اللي اتدربوا واللي ما اتدربوش؟;arabic;clean;جماعه التدريب التخرج فعلا بيسهل الحصول علي وظيفه التخرج وايه المجالات اللي شايفين انها محتاجه تدريب اكتر وهل لاحظتوا فرق الناس اللي اتدربوا واللي اتدربوش;['جماعه', 'التدريب', 'التخرج', 'فعلا', 'بيسهل', 'الحصول', 'علي', 'وظيفه', 'التخرج', 'وايه', 'المجالات', 'اللي', 'شايفين', 'انها', 'محتاجه', 'تدريب', 'اكتر', 'وهل', 'لاحظتوا', 'فرق', 'الناس', 'اللي', 'اتدربوا', 'واللي', 'اتدربوش']
الإعجاب;arabic;clean;الاعجاب;['الاعجاب']
تنسيق الاجتماعات;arabic;clean;تنسيق الاجتماعات;['تنسيق', 'الاجتماعات']
clinical training;english;clean;clinical training;['clinical', 'training']
الإستياء من;arabic;toxic;الاستياء;['الاستياء']
اشتغلت على مشاريع بها أطراف متعددة، ضمنت توافق الكل، التواصل الجيد، وتنفيذ ناجح.;arabic;clean;اشتغلت علي مشاريع اطراف متعدده ضمنت توافق الكل التواصل الجيد وتنفيذ ناجح;['اشتغلت', 'علي', 'مشاريع', 'اطراف', 'متعدده', 'ضمنت', 'توافق', 'الكل', 'التواصل', 'الجيد', 'وتنفيذ', 'ناجح']
أستطيع العمل بشكل مستقل وضمن الفريق;arabic;clean;استطيع العمل بشكل مستقل وضمن الفريق;['استطيع', 'العمل', 'بشكل', 'مستقل', 'وضمن', 'الفريق']
أتمنى ليك كل السعادة والنجاح وتحقق كل أهدافك.;arabic;clean;اتمني ليك السعاده والنجاح وتحقق اهدافك;['اتمني', 'ليك', 'السعاده', 'والنجاح', 'وتحقق', 'اهدافك']
Hope;english;clean;hope;['hope']
I apologize;english;clean;apologize;['apologize']
Creating a personal elevator pitch ensures clear self-introduction.;english;clean;creating personal elevator pitch ensures clear selfintroduction;['creating', 'personal', 'elevator', 'pitch', 'ensures', 'clear', 'selfintroduction']
القيادة الفعالة بتخلي العمل منظم وناجح;arabic;clean;القياده الفعاله بتخلي العمل منظم وناجح;['القياده', 'الفعاله', 'بتخلي', 'العمل', 'منظم', 'وناجح']
mohim_3amal_motamer;mixed;clean;mohim3amalmotamer;['mohim3amalmotamer']
scanner;english;clean;scanner;['scanner']
send the details;english;clean;send details;['send', 'details']
مستعد لمواجهة تحديات جديدة;arabic;clean;مستعد لمواجهه تحديات جديده;['مستعد', 'لمواجهه', 'تحديات', 'جديده']
ملاحظة دقيقة;arabic;clean;ملاحظه دقيقه;['ملاحظه', 'دقيقه']
Participating in university advisory boards enhances decision-making skills.;english;clean;participating university advisory boards enhances decisionmaking skills;['participating', 'university', 'advisory', 'boards', 'enhances', 'decisionmaking', 'skills']
What are the tips to succeed in the labor market?;english;clean;tips succeed labor market;['tips', 'succeed', 'labor', 'market']
تدريب صيفي;arabic;clean;تدريب صيفي;['تدريب', 'صيفي']
حساس للوقت;arabic;clean;حساس للوقت;['حساس', 'للوقت']
قارئ بطاقات;arabic;clean;قاري بطاقات;['قاري', 'بطاقات']
ازاي اطور مهارات إدارة المشاريع؟;arabic;clean;ازاي اطور مهارات اداره المشاريع;['ازاي', 'اطور', 'مهارات', 'اداره', 'المشاريع']
أنت تهمل أي مهام موكلة لك.;arabic;toxic;انت تهمل اي مهام موكله;['انت', 'تهمل', 'اي', 'مهام', 'موكله']
Believe in yourself no matter what;english;clean;believe matter;['believe', 'matter']
البورتفوليو الشامل يعرض الخبرة في مشاريع متعددة.;arabic;clean;البورتفوليو الشامل يعرض الخبره مشاريع متعدده;['البورتفوليو', 'الشامل', 'يعرض', 'الخبره', 'مشاريع', 'متعدده']
Practicing scenario-based problem-solving improves adaptability.;english;clean;practicing scenariobased problemsolving improves adaptability;['practicing', 'scenariobased', 'problemsolving', 'improves', 'adaptability']
Implementing agile methodologies improves flexibility in project work.;english;clean;implementing agile methodologies improves flexibility project work;['implementing', 'agile', 'methodologies', 'improves', 'flexibility', 'project', 'work']
shares new ideas;english;clean;shares new ideas;['shares', 'new', 'ideas']
Legal Documenglisht;english;clean;legal documenglisht;['legal', 'documenglisht']
الطلاب الذين يمارسون تقنيات دراسة فعالة يحافظون على المعرفة.;arabic;clean;الطلاب يمارسون تقنيات دراسه فعاله يحافظون علي المعرفه;['الطلاب', 'يمارسون', 'تقنيات', 'دراسه', 'فعاله', 'يحافظون', 'علي', 'المعرفه']
Software Usage Skills;english;clean;software usage skills;['software', 'usage', 'skills']
تحليل بيانات;arabic;clean;تحليل بيانات;['تحليل', 'بيانات']
الآمال;arabic;clean;الامال;['الامال']
Always try to listen carefully to your colleagues and understand their point of view.;english;clean;always try listen carefully colleagues understand point view;['always', 'try', 'listen', 'carefully', 'colleagues', 'understand', 'point', 'view']
always creative;english;clean;always creative;['always', 'creative']
علم الاجتماع;arabic;clean;الاجتماع;['الاجتماع']
Report-summary;english;clean;reportsummary;['reportsummary']
Learning coding and software development enhances career prospects.;english;clean;learning coding software development enhances career prospects;['learning', 'coding', 'software', 'development', 'enhances', 'career', 'prospects']
Instruction;english;clean;instruction;['instruction']
Using career-focused platforms aids in exploring emerging professions and opportunities.;english;clean;using careerfocused platforms aids exploring emerging professions opportunities;['using', 'careerfocused', 'platforms', 'aids', 'exploring', 'emerging', 'professions', 'opportunities']
Why is continuous learning and self-training important?;english;clean;continuous learning selftraining important;['continuous', 'learning', 'selftraining', 'important']
Practicing writing professional emails strengthens communication.;english;clean;practicing writing professional emails strengthens communication;['practicing', 'writing', 'professional', 'emails', 'strengthens', 'communication']
FAQ;english;clean;faq;['faq']
استمرارية;arabic;clean;استمراريه;['استمراريه']
متسلق;arabic;toxic;متسلق;['متسلق']
Digital CVs allow easy sharing and consistent formatting.;english;clean;digital cvs allow easy sharing consistent formatting;['digital', 'cvs', 'allow', 'easy', 'sharing', 'consistent', 'formatting']
Algorithm;english;clean;algorithm;['algorithm']
On the first day, I felt like I was part of a bigger team, which made me understand the importance of every small role.;english;clean;first day felt like part bigger team made understand importance every small role;['first', 'day', 'felt', 'like', 'part', 'bigger', 'team', 'made', 'understand', 'importance', 'every', 'small', 'role']
you're welcome;english;clean;youre welcome;['youre', 'welcome']
مبروك على الترقية، ونتمنى لك استمرار النجاح والتميز في مسيرتك العملية.;arabic;clean;مبروك علي الترقيه ونتمني استمرار النجاح والتميز مسيرتك العمليه;['مبروك', 'علي', 'الترقيه', 'ونتمني', 'استمرار', 'النجاح', 'والتميز', 'مسيرتك', 'العمليه']
تعليق مستفز;arabic;toxic;تعليق مستفز;['تعليق', 'مستفز']
Our project includes developing intelligent software systems that help automate processes and minimize human errors, while improving user experience through intuitive interface design and providing innovative technical solutions that meet diverse client requirements and enhance operational efficiency.;english;clean;project includes developing intelligent software systems help automate processes minimize human errors improving user experience intuitive interface design providing innovative technical solutions meet diverse client requirements enhance operational efficiency;['project', 'includes', 'developing', 'intelligent', 'software', 'systems', 'help', 'automate', 'processes', 'minimize', 'human', 'errors', 'improving', 'user', 'experience', 'intuitive', 'interface', 'design', 'providing', 'innovative', 'technical', 'solutions', 'meet', 'diverse', 'client', 'requirements', 'enhance', 'operational', 'efficiency']
عمل ممتاز في إنهاء مشروع السنة النهائية!;arabic;clean;عمل ممتاز انهاء مشروع السنه النهاييه;['عمل', 'ممتاز', 'انهاء', 'مشروع', 'السنه', 'النهاييه']
shared responsibilities;english;clean;shared responsibilities;['shared', 'responsibilities']
التدريب الصيفي خلاني أعرف أكتر عن مجالي;arabic;clean;التدريب الصيفي خلاني اعرف اكتر مجالي;['التدريب', 'الصيفي', 'خلاني', 'اعرف', 'اكتر', 'مجالي']
الموظفون ملزمون باتباع السياسات والإجراءات الرسمية للحفاظ على النظام.;arabic;clean;الموظفون ملزمون باتباع السياسات والاجراءات الرسميه للحفاظ علي النظام;['الموظفون', 'ملزمون', 'باتباع', 'السياسات', 'والاجراءات', 'الرسميه', 'للحفاظ', 'علي', 'النظام']
ازاي التدريب الصيفي أو التعاوني يحسن خبرتي العملية؟;arabic;clean;ازاي التدريب الصيفي او التعاوني يحسن خبرتي العمليه;['ازاي', 'التدريب', 'الصيفي', 'او', 'التعاوني', 'يحسن', 'خبرتي', 'العمليه']
extremism;english;toxic;extremism;['extremism']
مواكبة;arabic;clean;مواكبه;['مواكبه']
الإنهزامية;arabic;toxic;الانهزاميه;['الانهزاميه']
قاعة مؤتمرات;arabic;clean;قاعه موتمرات;['قاعه', 'موتمرات']
Integer;english;clean;integer;['integer']
Deep Learning;english;clean;deep learning;['deep', 'learning']
حاجة;arabic;clean;حاجه;['حاجه']
staff affairs building;english;clean;staff affairs building;['staff', 'affairs', 'building']
واثق في استراتيجيات حل المشكلات;arabic;clean;واثق استراتيجيات حل المشكلات;['واثق', 'استراتيجيات', 'حل', 'المشكلات']
volunteering;english;clean;volunteering;['volunteering']
I admire your dedication to maintaining high-quality standards.;english;clean;admire dedication maintaining highquality standards;['admire', 'dedication', 'maintaining', 'highquality', 'standards']
ممارسة تحسين الخوارزميات وهياكل البيانات تحسن الكفاءة.;arabic;clean;ممارسه تحسين الخوارزميات وهياكل البيانات تحسن الكفاءه;['ممارسه', 'تحسين', 'الخوارزميات', 'وهياكل', 'البيانات', 'تحسن', 'الكفاءه']
اشتغلت مع الزملاء على تطوير برامج تدريبية، محتوى ورش، وحسّنت مهارات الفريق.;arabic;clean;اشتغلت الزملاء علي تطوير برامج تدريبيه محتوي ورش وحسنت مهارات الفريق;['اشتغلت', 'الزملاء', 'علي', 'تطوير', 'برامج', 'تدريبيه', 'محتوي', 'ورش', 'وحسنت', 'مهارات', 'الفريق']
أهلاً! هل تعتقدون أن التدريب الداخلي أثناء الدراسة يساعد على تسريع الحصول على وظيفة؟;arabic;clean;اهلا تعتقدون ان التدريب الداخلي اثناء الدراسه يساعد علي تسريع الحصول علي وظيفه;['اهلا', 'تعتقدون', 'ان', 'التدريب', 'الداخلي', 'اثناء', 'الدراسه', 'يساعد', 'علي', 'تسريع', 'الحصول', 'علي', 'وظيفه']
خلال التدريب اتعلمت ازاي أكون منظمة في شغلي وأتابع كل تفاصيل المشروع خطوة خطوة.;arabic;clean;خلال التدريب اتعلمت ازاي اكون منظمه شغلي واتابع تفاصيل المشروع خطوه خطوه;['خلال', 'التدريب', 'اتعلمت', 'ازاي', 'اكون', 'منظمه', 'شغلي', 'واتابع', 'تفاصيل', 'المشروع', 'خطوه', 'خطوه']
Trial-based coding challenges improve adaptive thinking.;english;clean;trialbased coding challenges improve adaptive thinking;['trialbased', 'coding', 'challenges', 'improve', 'adaptive', 'thinking']
ايه الفرق بين الشغل في القطاع الخاص والعام؟;arabic;clean;ايه الفرق الشغل القطاع الخاص والعام;['ايه', 'الفرق', 'الشغل', 'القطاع', 'الخاص', 'والعام']
Negotiation;english;clean;negotiation;['negotiation']
I’m beyond exhausted from cleaning up after your repeated negligence.;english;toxic;im beyond exhausted cleaning repeated negligence;['im', 'beyond', 'exhausted', 'cleaning', 'repeated', 'negligence']
innovate;english;clean;innovate;['innovate']
صفحة;arabic;clean;صفحه;['صفحه']
ظهر;arabic;clean;ظهر;['ظهر']
Automation reduces repetitive tasks and improves efficiency.;english;clean;automation reduces repetitive tasks improves efficiency;['automation', 'reduces', 'repetitive', 'tasks', 'improves', 'efficiency']
thoughtless;english;toxic;thoughtless;['thoughtless']
Use time management strategies to alleviate pressure.;english;clean;use time management strategies alleviate pressure;['use', 'time', 'management', 'strategies', 'alleviate', 'pressure']
I contributed to knowledge management efforts, documentation, and sharing best practices across teams to enhance efficiency.;english;clean;contributed knowledge management efforts documentation sharing best practices across teams enhance efficiency;['contributed', 'knowledge', 'management', 'efforts', 'documentation', 'sharing', 'best', 'practices', 'across', 'teams', 'enhance', 'efficiency']
ah shoftha;mixed;clean;ah shoftha;['ah', 'shoftha']
Your performance demonstrates exceptional professionalism and dedication.;english;clean;performance demonstrates exceptional professionalism dedication;['performance', 'demonstrates', 'exceptional', 'professionalism', 'dedication']
