text;label;language
اللي عايز ينضم لفريق المشروع يكلمني خاص.;clean;ar
يوم المناقشة كان مليان لحظات حلوة.;clean;ar
يا ريت اللي عنده خبرة في Flutter يفيدني.;clean;mixed
نازل أهو صور الرحلة الأخيرة.;clean;ar
مبسوطة جدًا إننا أخيرًا خلصنا المشروع.;clean;ar
لو حد محتاج Resources للـ Data Structures هبعتها له.;clean;mixed
هل في حد مهتم بعمل فريق للمنافسة الجاية؟;clean;ar
ربنا يسهل على الجميع في الامتحانات الجاية.;clean;ar
عندي فرصة تدريب في شركة كويسة، اللي مهتم يعرفني.;clean;ar
يا ريت اللي خلص تدريب يقولي استفاد إيه.;clean;ar
سجلت في كورس جديد وأحس إنه مفيد جدًا.;clean;ar
شكر خاص للدكتور على شرحه الواضح.;clean;ar
لو حد محتاج أي مساعدة في الباك إند يقولي.;clean;ar
بوست بسيط أحب أشكر فيه كل صحابي.;clean;ar
محتاج أعرف إزاي أبدأ في الـ Cloud Computing.;clean;mixed
أتمنى للجميع يوم مليان إنجاز.;clean;ar
هل في أخبار عن نتائج البحث العلمي؟;clean;ar
لو حد مهتم نتشارك مذاكرة المادة دي.;clean;ar
حضرت ورشة UI/UX وكانت روعة.;clean;mixed
بحب أجواء التعاون في الجروب ده.;clean;ar
اللي محتاج ملفات المحاضرات هيلاقيها في الكومنت.;clean;ar
أسبوع صعب بس الحمد لله عدّى.;clean;ar
ربنا يبارك في كل حد ساعدني الفترة اللي فاتت.;clean;ar
براجع المشاريع القديمة لحد ما نبدأ الجديد.;clean;ar
شكراً للكلية على توفير معمل مجهز بالشكل ده.;clean;ar
شاركت فايلات زيادة ممكن تفيدكم.;clean;ar
متحمس جدًا لبدء السنة الأخيرة.;clean;ar
مبروك لكل اللي خلص التدريب الصيفي.;clean;ar
يا ريت اللي جرب امتحان المادة دي ينصحنا.;clean;ar
محتاج اقتراحات لشركات كويسة للانترفيو.;clean;ar
بسأل لو في أي نشاط تطوعي متاح الفترة الجاية.;clean;ar
دعمكم ليا فرق جدًا، شكرًا ليكم.;clean;ar
. إن شاء الله الفترة الجاية تكون مليانة نجاحات للجميع.;clean;ar
شكراً لكل من ساعدني في التغلب على الصعوبات.;clean;ar
أتمنى لكم أسبوع مليان إنجازات وفرص جديدة.;clean;ar
أحب أشكر جميع أعضاء الجروب على تعاونهم;clean;ar
تجربة حضور المؤتمر كانت مفيدة جدًا.;clean;ar
ربنا يوفق الجميع في الخطوات القادمة.;clean;ar
مبروك لكل اللي نجح في الاختبارات الأخيرة.;clean;ar
لو حد محتاج أفكار لمشروع جديد، أقدر أشارك.;clean;ar
الحمد لله كل شيء تم بنجاح.;clean;ar
سعيد جدًا بالتقدم اللي حققناه في المشروع.;clean;ar
فرصة كويسة لحضور محاضرة إضافية.;clean;ar
نزلت المستندات الجديدة على المنصة;clean;ar
يوم التخرج قرب، متحمسة جدًا.;clean;ar
شكراً لكل من ساعد في تنظيم الحدث الأخير.;clean;ar
أتمنى للجميع الصحة والسعادة دائمًا.;clean;ar
لو في حد محتاج مساعدة تقنية يقدر يسأل هنا.;clean;ar
تجربة جديدة في البرمجة كانت ممتعة.;clean;ar
أحب أشارككم بعض الموارد اللي استفدت منها.;clean;ar
فرصة للتطوع في نشاط جديد، اللي مهتم يكتب.;clean;ar
مشاركة بسيطة، بس حابة أشكر الفريق كله.;clean;ar
أتمنى لكل زملائي النجاح والتفوق الدائم.;clean;ar
الحمد لله خلصنا كل التحديات المطلوبة.;clean;ar
نزلت لكم فيديو تعليمي ممكن يفيدكم.;clean;ar
يوم مليان نشاط وحماس للجميع.;clean;ar
لو حد محتاج نصائح للمذاكرة أنا متاحة.;clean;ar
أحب أشكر الدكتور على الشرح الواضح والمفيد.;clean;ar
فرصة ممتازة لحضور كورس جديد على الإنترنت.;clean;ar
أتمنى للجميع متابعة جيدة للمحاضرات.;clean;ar
ربنا يوفق الجميع في المشاريع القادمة.;clean;ar
خبر حلو، تم قبولنا في المسابقة الجامعية.;clean;ar
سعيد جدًا بالتعاون مع زملائي في الفريق.;clean;ar
لو حد محتاج ملفات المحاضرات أنا هبعتها له.;clean;ar
أتمنى لكم يوم مليء بالإيجابية والنجاح.;clean;ar
شكرًا لكل من شارك في الاجتماع الأخير.;clean;ar
مبسوطة جدًا بالنتائج اللي حصلنا عليها.;clean;ar
محتاج رأيكم في المشروع قبل التسليم النهائي.;clean;ar
أول يوم في التدريب كان مليان تعلم وتجربة.;clean;ar
لحمد لله المشروع نجح بشكل ممتاز.;clean;ar
تم حل مشكلة المشروع بعد تعاون الجميع.;clean;ar
Good morning everyone, hope you all have a productive day.;clean;en
Congratulations to all the graduates this year!;clean;en
Does anyone know when certificates will be available?;clean;en
I’m looking for internship recommendations in software development.;clean;en
Big thanks to the staff for their support.;clean;en
Just joined the group, glad to be here!;clean;en
Anyone has the lecture schedule for next semester?;clean;en
Sharing some photos from today’s workshop!;clean;en
Thank you to everyone who helped me in my project.;clean;en
Does anyone have the PDF for yesterday's lecture?;clean;en
Proud of our batch and what we achieved this year.;clean;en
Good luck to everyone applying for jobs!;clean;en
Can someone help me with my CV?;clean;en
Hope everyone had a great presentation day.;clean;en
Looking for teammates for a new graduation project.;clean;en
Much appreciation to our instructors for their efforts.;clean;en
Wishing all students the best of luck.;clean;en
Today’s lab session was really helpful.;clean;en
Does anyone have recommendations for learning React?;clean;en
Happy to be part of this alumni community.;clean;en
Sharing useful resources for beginners.;clean;en
Great event today, thanks to the organizers!;clean;en
Great event today, thanks to the organizers!;clean;en
Hope the next semester goes well for everyone.;clean;en
Just wanted to say I'm grateful for this group.;clean;en
 I appreciate everyone who supported me during my project.;clean;en
Good morning everyone, hope you have a productive day;clean;en
Thank you all for your support on the project.;clean;en
The assignment was completed successfully.;clean;en
Excited to attend today’s workshop.;clean;en
Wishing everyone the best in their exams.;clean;en
If anyone needs help with Python, I’m available.;clean;en
Summer internship experience was very valuable.;clean;en
Grateful for my teammates’ continuous support.;clean;en
Uploaded the required files to the group.;clean;en
The project issue was solved with teamwork.;clean;en
I’d like to share a new idea for our next project.;clean;en
I’m happy to help anyone with the course material.;clean;en
The project outcome was excellent, thanks to everyone.;clean;en
Thanks to the admin for organizing the meeting.;clean;en
First day at training was full of learning.;clean;en
Need your feedback before the final submission.;clean;en
Really happy with the results we achieved.;clean;en
Thanks to everyone who participated in the last meeting.;clean;en
Wishing everyone a positive and successful day.;clean;en
If anyone needs the lecture notes, I can share them.;clean;en
Really enjoyed collaborating with my team.;clean;en
Great news, we got accepted into the university competition.;clean;en
Wishing everyone success in upcoming projects.;clean;en
Hope everyone keeps up with the lectures.;clean;en
Excellent opportunity to join a new online course.;clean;en
Thanks to the professor for the clear explanation.;clean;en
I’m available to give study tips if anyone wants.;clean;en
Today is full of energy and motivation.;clean;en
Shared an educational video that could help.;clean;en
All required challenges were completed successfully.;clean;en
Wishing all my classmates continuous success.;clean;en
Just a small share to thank the whole team.;clean;en
Volunteering opportunity available, comment if interested.;clean;en
I’d like to share some useful resources.;clean;en
The new programming experience was fun.;clean;en
If anyone needs tech help, feel free to ask.;clean;en
Wishing everyone health and happiness.;clean;en
Thanks to all who helped organize the last event.;clean;en
Uploaded the new documents on the platform.;clean;en
Great chance to attend an extra lecture.;clean;en
Really happy with the progress we made in the project.;clean;en
Everything went smoothly, thank God.;clean;en
I can share ideas for the next project if needed.;clean;en
Congratulations to all who passed the recent tests.;clean;en
Wishing everyone success in the upcoming steps.;clean;en
Attending the conference was a very useful experience.;clean;en
Thank you to all group members for their cooperation.;clean;en
Wishing you a week full of achievements and opportunities.;clean;en
Thanks to everyone who helped me overcome challenges.;clean;en
أنتوا جروب فاشل ومفيش حد بيرد على أي حاجة.;toxic;ar
البوستات هنا كلها تافهة ومبتفدش حد.;toxic;ar
هو فين الأدمن الكسول اللي عمره ما بينظم حاجة؟;toxic;ar
فاية بقى بوستات غبية كل يوم.;toxic;ar
انتو بتتكلموا في ايه يا جهلة؟;toxic;ar
اللي كتب البوست دا واضح إنه مش فاهم أي حاجة.;toxic;ar
بلا جامعة بلا وجع دماغ، كلكم مش نافع.;toxic;ar
هو في حد هنا محترم يعرف يرد؟;toxic;ar
البوست ده سخيف جدًا ومش ليه لازمة.;toxic;ar
واضح إن محدش في الجروب ده بيستخدم مخه.;toxic;ar
كل يوم نفس الكلام الممل، زهقت.;toxic;ar
أنتوا مش لاقيين حاجة مفيدة تعملوها؟;toxic;ar
الأدمن هنا نايم ولا إيه؟;toxic;ar
ردودكم ساذجة ومضيعة للوقت.;toxic;ar
بطلوا كلام فاضي بقى.;toxic;ar
طريقة شرحك وحشة ومش مفهومة.;toxic;ar
الجروب ده بقى مقرف بسبب البوستات دي.;toxic;ar
انت بتسأل أسئلة تافهة جدًا.;toxic;ar
محدش هنا بيعرف يتعامل بذوق.;toxic;ar
اسلوبك مستفز جدًا.;toxic;ar
اللي داخل يهري ياريت يسكت.;toxic;ar
واضح إن مفيش حد فاهم حاجة في القسم ده.;toxic;ar
بوست تافه زي صاحبه.;toxic;ar
انت فاشل وما هتنجح أبداً.;toxic;ar
محدش مهتم باللي بتعمله.;toxic;ar
ملكش أي قيمة في الفريق.;toxic;ar
دايمًا بتبوظ كل حاجة.;toxic;ar
انت ضعيف جدًا عقليًا.;toxic;ar
ي حاجة تعملها فاشلة.;toxic;ar
انت عيب على الفريق كله.;toxic;ar
انت عبء ;toxic;ar
كل مجهودك ضايع هباء.;toxic;ar
محدش عايز يسمعك هنا.;toxic;ar
انت كارثة حقيقية.;toxic;ar
كل كلامك فاضي وما لهش معنى.;toxic;ar
دايمًا بتسبب مشاكل للآخرين.;toxic;ar
انت أخر حد ممكن يعتمد عليه.;toxic;ar
دماغك مش كويسة على الإطلاق.;toxic;ar
كل محاولاتك هتبوظ في الآخر.;toxic;ar
مستواك أقل من اللازم.;toxic;ar
محدش يحترمك بسبب تصرفاتك;toxic;ar
كل مشروع تشترك فيه يبقى خراب.;toxic;ar
انت سبب كل المشاكل في الفريق.;toxic;ar
مستواك ضعيف جدًا في كل حاجة.;toxic;ar
محدش مهتم برأيك.;toxic;ar
انت محبط وبس.;toxic;ar
كل حد حواليك بيتعب بسببك.;toxic;ar
انت بلا قيمة قدام زملائك.;toxic;ar
كل جملة تقولها سخيفة.;toxic;ar
انت أسوأ عضو في الفريق.;toxic;ar
كل خطوة منك تسبب مشاكل.;toxic;ar
مش هتتعلم حاجة أبدًا.;toxic;ar
دماغك شبه العدم.;toxic;ar
انت عيب على الكلية كلها.;toxic;ar
كل مرة تحاول تفشل.;toxic;ar
محدش عايز يشتغل معاك.;toxic;ar
انت شخص سيء بشكل غير طبيعي.;toxic;ar
كل حاجة تعملها تبقى كارثة.;toxic;ar
مستواك عقلي ضعيف جدًا.;toxic;ar
كل جهدك ضايع.;toxic;ar
كل حد شايفك بيكرهك.;toxic;ar
نت أسوأ شخص في الفريق.;toxic;ar
كل محاولاتك فاشلة.;toxic;ar
محدش يثق فيك أبدًا.;toxic;ar
كل كلامك سخيف وواطي.;toxic;ar
دماغك فاضية.;toxic;ar
كل مرة تحاول فيها تعمل حاجة بتبوظ.;toxic;ar
انت سبب الفشل في كل حاجة.;toxic;ar
كل حد حواليك بيتضايق منك.;toxic;ar
انت عبء على الفريق كله.;toxic;ar
كل حاجة تقولها غلط.;toxic;ar
أي خطوة منك كارثة.;toxic;ar
مستواك ولا حاجة،;toxic;ar
You’re completely useless;toxic;en
Nobody cares about your opinion;toxic;en
You’re a joke.;toxic;en
That idea is pathetic.;toxic;en
You’re hopeless.;toxic;en
Stop being so weak.;toxic;en
You can’t do anything right;toxic;en
That was the dumbest thing ever.;toxic;en
You’re embarrassing yourself.;toxic;en
No one likes you.;toxic;en
Nice try, loser.;toxic;en
Nobody asked for your input.;toxic;en
Just stop talking.;toxic;en
Your opinion doesn’t matter.;toxic;en
Your opinion doesn’t matter.;toxic;en
I’ll make sure you fail.;toxic;en
You’re lazy.;toxic;en
That was a stupid decision.;toxic;en
You’ll never succeed.;toxic;en
You’re not good enough.;toxic;en
Stop trying, you’ll never fit in.;toxic;en
That was stupid.;toxic;en
I don’t care about you.;toxic;en
You’ll never measure up.;toxic;en
Nobody wants you here.;toxic;en
You’re a burden.;toxic;en
You’re a complete idiot.;toxic;en
You’re nothing but a fool.;toxic;en
You always ruin everything.;toxic;en
How could you be so careless?;toxic;en
Everything you touch fails.;toxic;en
You’re worse than anyone else.;toxic;en
You’re ruining your own life.;toxic;en
Everyone is better than you.;toxic;en
You’re the worst at everything.;toxic;en
You’ll never succeed like anyone else.;toxic;en
You are like an animal.;toxic;en
Your brain looks like an animal.;toxic;en
You have zero talent.;toxic;en
You’re just plain stupid.;toxic;en
You’re completely incompetent.;toxic;en
You’re an embarrassment.;toxic;en
You’re an embarrassment.;toxic;en
You’re playing with fire.;toxic;en
You’re a disaster waiting to happen.;toxic;en
You’re a total screw-up.;toxic;en
You’re always in the wrong.;toxic;en
Stop trying.;toxic;en
No one needs you around.;toxic;en
Nobody asked for your presence.;toxic;en
You’re a nobody here.;toxic;en
Just vanish, it’s better for everyone.;toxic;en
Nobody wants to hear from you.;toxic;en
Stop being childish.;toxic;en
You always fail at the simplest things.;toxic;en
Everyone is tired of your mistakes.;toxic;en
You’ll never fix what you broke.;toxic;en
You never learn.;toxic;en
You’re a weakling.;toxic;en
You’re pathetic.;toxic;en
You can’t handle anything.;toxic;en
You’re ridiculous.;toxic;en
You’re shameful.;toxic;en
Your work is garbage.;toxic;en
You’re a loser.;toxic;en
You always mess things up.;toxic;en
You’re incompetent at everything.;toxic;en
You’re untrustworthy.;toxic;en
You’re a liar.;toxic;en
You’re selfish.;toxic;en
You’re a coward.;toxic;en
You’re disgusting.;toxic;en
You’re worthless.;toxic;en
You’re inferior.;toxic;en
You’re stupid.;toxic;en
You’re annoying.;toxic;en
You’re hopelessly lazy.;toxic;en
You’re pathetic and weak.;toxic;en
You ruin everything you touch.;toxic;en
You’re the worst teammate ever.;toxic;en
You can’t do anything right.;toxic;en
You’re a failure at life.;toxic;en
Nobody likes working with you.;toxic;en
You bring nothing to the table.;toxic;en
You’re a drain on the team.;toxic;en
You’re hopelessly incompetent.;toxic;en
Your ideas are worthless.;toxic;en
You’re a joke to everyone;toxic;en
Stop wasting everyone’s time.;toxic;en
You’re incapable of success.;toxic;en
You’re a disaster.;toxic;en
You’ll never achieve anything.;toxic;en
You’re a failure at everything.;toxic;en
You’re a disaster in the making.;toxic;en
You’re completely unhelpful.;toxic;en
You’re a menace.;toxic;en
You can’t manage anything.;toxic;en
You’re an idiot.;toxic;en
You’re dumb.;toxic;en
You’ll never improve.;toxic;en
You’re a fool.;toxic;en
You’re hopelessly flawed.;toxic;en
You’re a terrible person.;toxic;en
You’re impossible to work with.;toxic;en
You always screw things up.;toxic;en
You’re a liability.;toxic;en
You’re a disgrace.;toxic;en
You’re hopelessly weak.;toxic;en
You can’t succeed at anything.;toxic;en
You can’t succeed at anything.;toxic;en
You’re a fool in every sense.;toxic;en
You always fail miserably.;toxic;en
You’re a failure by nature.;toxic;en
You’re completely inadequate.;toxic;en
You’re the worst at everything you try.;toxic;en
You can’t follow instructions.;toxic;en
You’re a waste of space.;toxic;en
You’re pathetic and lazy.;toxic;en
You’ll never make it.;toxic;en
You’re useless in every way.;toxic;en
You’re beneath everyone.;toxic;en
You can’t compete with anyone.;toxic;en
You’re a disaster at work.;toxic;en
