text;language;label;cleaned_text;tokens
خشن;arabic;clean;خشن;['خشن']
خطأ;arabic;toxic;خطا;['خطا']
خطأ في رواية;arabic;toxic;خطا روايه;['خطا', 'روايه']
خطر;arabic;toxic;خطر;['خطر']
خوّف;arabic;toxic;خوف;['خوف']
خيالي;arabic;clean;خيالي;['خيالي']
خيبة أمل;arabic;toxic;خيبه امل;['خيبه', 'امل']
دمّر;arabic;toxic;دمر;['دمر']
ذكي;arabic;clean;ذكي;['ذكي']
رائع;arabic;clean;رايع;['رايع']
رابح;arabic;clean;رابح;['رابح']
راسخ;arabic;clean;راسخ;['راسخ']
راضي;arabic;clean;راضي;['راضي']
راغب في القبول;arabic;clean;راغب القبول;['راغب', 'القبول']
رتّب;arabic;clean;رتب;['رتب']
رثى;arabic;clean;رثي;['رثي']
رجاء;arabic;clean;رجاء;['رجاء']
رقيق;arabic;clean;رقيق;['رقيق']
روعة;arabic;clean;روعه;['روعه']
ساخر;arabic;toxic;ساخر;['ساخر']
ساخط;arabic;toxic;ساخط;['ساخط']
سادي، التلذذ بالألم;arabic;toxic;سادي التلذذ بالالم;['سادي', 'التلذذ', 'بالالم']
ساذج;arabic;toxic;ساذج;['ساذج']
ساقط;arabic;toxic;ساقط;['ساقط']
سامّ;arabic;toxic;سام;['سام']
سخيف;arabic;toxic;سخيف;['سخيف']
سعيد;arabic;clean;سعيد;['سعيد']
سليم;arabic;clean;سليم;['سليم']
سهل;arabic;clean;سهل;['سهل']
سهلي;arabic;clean;سهلي;['سهلي']
سوء الاستغلال;arabic;toxic;سوء الاستغلال;['سوء', 'الاستغلال']
سوء الفهم;arabic;toxic;سوء الفهم;['سوء', 'الفهم']
سوداوي;arabic;toxic;سوداوي;['سوداوي']
شتم;arabic;toxic;شتم;['شتم']
شتيمة;arabic;toxic;شتيمه;['شتيمه']
شجاع;arabic;clean;شجاع;['شجاع']
شرفيًّا;arabic;clean;شرفيا;['شرفيا']
شرير;arabic;toxic;شرير;['شرير']
شكرا;arabic;clean;شكرا;['شكرا']
صادق;arabic;clean;صادق;['صادق']
صارخ;arabic;toxic;صارخ;['صارخ']
صارم;arabic;clean;صارم;['صارم']
صاعد;arabic;clean;صاعد;['صاعد']
صالح;arabic;clean;صالح;['صالح']
صعب;arabic;clean;صعب;['صعب']
ضرب;arabic;toxic;ضرب;['ضرب']
ضعيف;arabic;toxic;ضعيف;['ضعيف']
طائش;arabic;toxic;طايش;['طايش']
طارئ;arabic;clean;طاري;['طاري']
طبيعي;arabic;clean;طبيعي;['طبيعي']
طليق;arabic;clean;طليق;['طليق']
طمأن;arabic;clean;طمان;['طمان']
طموح;arabic;clean;طموح;['طموح']
ظالم;arabic;toxic;ظالم;['ظالم']
ظلم;arabic;toxic;ظلم;['ظلم']
عابث;arabic;toxic;عابث;['عابث']
عاجز;arabic;toxic;عاجز;['عاجز']
عادي;arabic;clean;عادي;['عادي']
عنيد;arabic;toxic;عنيد;['عنيد']
عنيف;arabic;toxic;عنيف;['عنيف']
غاضب;arabic;toxic;غاضب;['غاضب']
غافل;arabic;toxic;غافل;['غافل']
غالي;arabic;clean;غالي;['غالي']
غبي;arabic;toxic;غبي;['غبي']
غير مكترث;arabic;toxic;مكترث;['مكترث']
غير ملوّث;arabic;clean;ملوث;['ملوث']
غير مناسب;arabic;toxic;مناسب;['مناسب']
غير مهم;arabic;toxic;مهم;['مهم']
غير موثوق;arabic;toxic;موثوق;['موثوق']
غير نافع;arabic;toxic;نافع;['نافع']
غير واضح;arabic;toxic;واضح;['واضح']
غير ودّي;arabic;toxic;ودي;['ودي']
غيور;arabic;toxic;غيور;['غيور']
فائز;arabic;clean;فايز;['فايز']
فاخر;arabic;clean;فاخر;['فاخر']
فادح;arabic;toxic;فادح;['فادح']
فارغ;arabic;clean;فارغ;['فارغ']
فاز;arabic;clean;فاز;['فاز']
فاسد;arabic;toxic;فاسد;['فاسد']
فاشل;arabic;toxic;فاشل;['فاشل']
فاقد الثقة;arabic;toxic;فاقد الثقه;['فاقد', 'الثقه']
فخري;arabic;clean;فخري;['فخري']
فخور;arabic;clean;فخور;['فخور']
فرح;arabic;clean;فرح;['فرح']
فرحان;arabic;clean;فرحان;['فرحان']
فرحة;arabic;clean;فرحه;['فرحه']
فريد;arabic;clean;فريد;['فريد']
فظيع;arabic;toxic;فظيع;['فظيع']
فعّال;arabic;clean;فعال;['فعال']
فوضوي;arabic;toxic;فوضوي;['فوضوي']
قاسي;arabic;toxic;قاسي;['قاسي']
قانوني;arabic;clean;قانوني;['قانوني']
قانونيا;arabic;clean;قانونيا;['قانونيا']
قبض;arabic;clean;قبض;['قبض']
قبول;arabic;clean;قبول;['قبول']
قبيح;arabic;toxic;قبيح;['قبيح']
قدّر;arabic;clean;قدر;['قدر']
قدّم;arabic;clean;قدم;['قدم']
قدسي;arabic;clean;قدسي;['قدسي']
قدير;arabic;clean;قدير;['قدير']
قذر;arabic;toxic;قذر;['قذر']
قوي;arabic;clean;قوي;['قوي']
كآبة;arabic;toxic;كابه;['كابه']
كئيب;arabic;toxic;كييب;['كييب']
كافر;arabic;toxic;كافر;['كافر']
كبير;arabic;clean;كبير;['كبير']
كثير الشّكوى;arabic;toxic;كثير الشكوي;['كثير', 'الشكوي']
كثير النسيان;arabic;toxic;كثير النسيان;['كثير', 'النسيان']
كثير الهزل;arabic;toxic;كثير الهزل;['كثير', 'الهزل']
كذب;arabic;toxic;كذب;['كذب']
كرّس;arabic;clean;كرس;['كرس']
كَره بشدّة;arabic;toxic;كره بشده;['كره', 'بشده']
كريم;arabic;clean;كريم;['كريم']
لا أخلاقي;arabic;toxic;اخلاقي;['اخلاقي']
لا أخلاقيّ;arabic;toxic;اخلاقي;['اخلاقي']
لا أخلاقيّات;arabic;toxic;اخلاقيات;['اخلاقيات']
لا عقلاني;arabic;toxic;عقلاني;['عقلاني']
لا عيب فيه;arabic;clean;عيب;['عيب']
لا مبالي;arabic;toxic;مبالي;['مبالي']
لا يستحق;arabic;toxic;يستحق;['يستحق']
لحسن الحظّ;arabic;clean;لحسن الحظ;['لحسن', 'الحظ']
لذيذ;arabic;clean;لذيذ;['لذيذ']
لسوء الحظ;arabic;clean;لسوء الحظ;['لسوء', 'الحظ']
لصّ الخزائن;arabic;toxic;لص الخزاين;['لص', 'الخزاين']
لصوص الخزائن;arabic;toxic;لصوص الخزاين;['لصوص', 'الخزاين']
لطيف;arabic;clean;لطيف;['لطيف']
للأسف;arabic;clean;للاسف;['للاسف']
للغاية;arabic;clean;للغايه;['للغايه']
لوّث;arabic;toxic;لوث;['لوث']
ليّن;arabic;clean;لين;['لين']
مؤتمن;arabic;clean;موتمن;['موتمن']
مؤثر;arabic;clean;موثر;['موثر']
مؤجّل;arabic;clean;موجل;['موجل']
مؤذ;arabic;toxic;موذ;['موذ']
مآذيّ;arabic;toxic;ماذي;['ماذي']
مأساوي;arabic;toxic;ماساوي;['ماساوي']
مؤسف;arabic;toxic;موسف;['موسف']
مأسور;arabic;toxic;ماسور;['ماسور']
مأسويّ هزلي;arabic;toxic;ماسوي هزلي;['ماسوي', 'هزلي']
مؤكّد;arabic;clean;موكد;['موكد']
مباشرة;arabic;clean;مباشره;['مباشره']
مبالغ;arabic;clean;مبالغ;['مبالغ']
مبتسم;arabic;clean;مبتسم;['مبتسم']
مبدع;arabic;clean;مبدع;['مبدع']
مبرّأ;arabic;clean;مبرا;['مبرا']
متأتأ;arabic;toxic;متاتا;['متاتا']
متأخر;arabic;toxic;متاخر;['متاخر']
متأكّد;arabic;clean;متاكد;['متاكد']
متتالي;arabic;clean;متتالي;['متتالي']
متّكل;arabic;toxic;متكل;['متكل']
متجاهل;arabic;toxic;متجاهل;['متجاهل']
متجاوب;arabic;clean;متجاوب;['متجاوب']
متجنّب;arabic;toxic;متجنب;['متجنب']
متجنّبون;arabic;toxic;متجنبون;['متجنبون']
متجهّم;arabic;toxic;متجهم;['متجهم']
متحايد أخلاقيًّا;arabic;clean;متحايد اخلاقيا;['متحايد', 'اخلاقيا']
متحدّى;arabic;clean;متحدي;['متحدي']
متحدّي;arabic;clean;متحدي;['متحدي']
متحلّل;arabic;clean;متحلل;['متحلل']
متحمس;arabic;clean;متحمس;['متحمس']
متسامح;arabic;clean;متسامح;['متسامح']
متسما بالإحترام;arabic;clean;متسما بالاحترام;['متسما', 'بالاحترام']
متشائم;arabic;toxic;متشايم;['متشايم']
متشكّر;arabic;toxic;متشكر;['متشكر']
متصدّق;arabic;clean;متصدق;['متصدق']
متصلّب;arabic;toxic;متصلب;['متصلب']
متضايق;arabic;toxic;متضايق;['متضايق']
متضرّر;arabic;toxic;متضرر;['متضرر']
متطوّر;arabic;clean;متطور;['متطور']
متعاطف;arabic;clean;متعاطف;['متعاطف']
متعاقب;arabic;toxic;متعاقب;['متعاقب']
متعب;arabic;toxic;متعب;['متعب']
متعجرف;arabic;toxic;متعجرف;['متعجرف']
متعفّن;arabic;toxic;متعفن;['متعفن']
متعلّق ب;arabic;clean;متعلق;['متعلق']
متغازل;arabic;toxic;متغازل;['متغازل']
متفائل;arabic;clean;متفايل;['متفايل']
متقن;arabic;clean;متقن;['متقن']
متكاسل;arabic;toxic;متكاسل;['متكاسل']
متكبّر;arabic;toxic;متكبر;['متكبر']
متلهّف;arabic;clean;متلهف;['متلهف']
متمتّع ب;arabic;clean;متمتع;['متمتع']
متنازع عليه;arabic;toxic;متنازع;['متنازع']
متناقض;arabic;toxic;متناقض;['متناقض']
متنكّر;arabic;toxic;متنكر;['متنكر']
متهكم;arabic;toxic;متهكم;['متهكم']
متهوّر;arabic;toxic;متهور;['متهور']
متواضع;arabic;clean;متواضع;['متواضع']
متوتّر;arabic;clean;متوتر;['متوتر']
مثالي;arabic;clean;مثالي;['مثالي']
مجادل;arabic;clean;مجادل;['مجادل']
مجاني;arabic;clean;مجاني;['مجاني']
مجبر;arabic;clean;مجبر;['مجبر']
مجّاني;arabic;clean;مجاني;['مجاني']
مجّد;arabic;clean;مجد;['مجد']
مجمّل;arabic;clean;مجمل;['مجمل']
مجنون;arabic;toxic;مجنون;['مجنون']
محبوب;arabic;clean;محبوب;['محبوب']
محتاج;arabic;clean;محتاج;['محتاج']
محتال;arabic;toxic;محتال;['محتال']
محترم;arabic;clean;محترم;['محترم']
مستسخف;arabic;toxic;مستسخف;['مستسخف']
مستعبد;arabic;toxic;مستعبد;['مستعبد']
مستعجل;arabic;clean;مستعجل;['مستعجل']
مستعدّ;arabic;clean;مستعد;['مستعد']
مستغلّ;arabic;toxic;مستغل;['مستغل']
مستقلّ;arabic;clean;مستقل;['مستقل']
مستقيل;arabic;clean;مستقيل;['مستقيل']
مستقيم;arabic;clean;مستقيم;['مستقيم']
مستمتع;arabic;clean;مستمتع;['مستمتع']
مستنزف;arabic;toxic;مستنزف;['مستنزف']
مسجون;arabic;toxic;مسجون;['مسجون']
مسرور;arabic;clean;مسرور;['مسرور']
مسروق;arabic;toxic;مسروق;['مسروق']
مسلّح;arabic;toxic;مسلح;['مسلح']
مشؤوم;arabic;toxic;مشووم;['مشووم']
مشاغب;arabic;toxic;مشاغب;['مشاغب']
مشترك;arabic;clean;مشترك;['مشترك']
مشتكى;arabic;toxic;مشتكي;['مشتكي']
مشجّع;arabic;clean;مشجع;['مشجع']
مشحون;arabic;toxic;مشحون;['مشحون']
مشرّف;arabic;clean;مشرف;['مشرف']
مشرق;arabic;clean;مشرق;['مشرق']
مشغول;arabic;clean;مشغول;['مشغول']
مشكور;arabic;clean;مشكور;['مشكور']
مشكوك فيه;arabic;toxic;مشكوك;['مشكوك']
مشلول;arabic;toxic;مشلول;['مشلول']
مشمئز;arabic;toxic;مشميز;['مشميز']
مشمس;arabic;clean;مشمس;['مشمس']
مشهور;arabic;clean;مشهور;['مشهور']
مشوّش;arabic;toxic;مشوش;['مشوش']
مشوّه;arabic;toxic;مشوه;['مشوه']
مشى بالنميمة;arabic;toxic;مشي بالنميمه;['مشي', 'بالنميمه']
مصاب;arabic;toxic;مصاب;['مصاب']
مصادر الإزعاج;arabic;toxic;مصادر الازعاج;['مصادر', 'الازعاج']
مصادفة;arabic;clean;مصادفه;['مصادفه']
مصالح;arabic;clean;مصالح;['مصالح']
مصبح عاطفيا;arabic;clean;مصبح عاطفيا;['مصبح', 'عاطفيا']
مصدّق;arabic;clean;مصدق;['مصدق']
مصدوم;arabic;toxic;مصدوم;['مصدوم']
مصعوق;arabic;toxic;مصعوق;['مصعوق']
مصلّب;arabic;toxic;مصلب;['مصلب']
مصمّم;arabic;clean;مصمم;['مصمم']
مصيبة;arabic;toxic;مصيبه;['مصيبه']
مضادّ;arabic;toxic;مضاد;['مضاد']
مُضحّي بـ;arabic;clean;مضحي بـ;['مضحي', 'بـ']
مضحك;arabic;clean;مضحك;['مضحك']
مضر;arabic;toxic;مضر;['مضر']
مضطرب;arabic;toxic;مضطرب;['مضطرب']
مضطهد;arabic;toxic;مضطهد;['مضطهد']
مُضعِف;arabic;toxic;مضعف;['مضعف']
مضغوط;arabic;clean;مضغوط;['مضغوط']
مضلّل;arabic;toxic;مضلل;['مضلل']
مضمون;arabic;clean;مضمون;['مضمون']
مضيء;arabic;clean;مضيء;['مضيء']
مطارد;arabic;toxic;مطارد;['مطارد']
مطرود;arabic;toxic;مطرود;['مطرود']
مطّلع;arabic;clean;مطلع;['مطلع']
مطعون;arabic;toxic;مطعون;['مطعون']
مطلوب;arabic;clean;مطلوب;['مطلوب']
مطلول على;arabic;clean;مطلول علي;['مطلول', 'علي']
مطمئن;arabic;clean;مطمين;['مطمين']
مطيع;arabic;clean;مطيع;['مطيع']
مع السّلامة;arabic;clean;السلامه;['السلامه']
معاد;arabic;clean;معاد;['معاد']
معاق;arabic;toxic;معاق;['معاق']
معاقب;arabic;toxic;معاقب;['معاقب']
معالج;arabic;clean;معالج;['معالج']
معانق;arabic;clean;معانق;['معانق']
مُعترف به;arabic;clean;معترف;['معترف']
معتوه;arabic;toxic;معتوه;['معتوه']
مغتبط;arabic;clean;مغتبط;['مغتبط']
مغتصب;arabic;toxic;مغتصب;['مغتصب']
مغرور;arabic;toxic;مغرور;['مغرور']
مغرى;arabic;toxic;مغري;['مغري']
مغزو;arabic;toxic;مغزو;['مغزو']
مغشوش;arabic;toxic;مغشوش;['مغشوش']
مغضب;arabic;toxic;مغضب;['مغضب']
مغمور;arabic;clean;مغمور;['مغمور']
مفاجئ;arabic;clean;مفاجي;['مفاجي']
مفتقد;arabic;toxic;مفتقد;['مفتقد']
مفتون;arabic;toxic;مفتون;['مفتون']
مفجوع;arabic;toxic;مفجوع;['مفجوع']
مفرغ;arabic;clean;مفرغ;['مفرغ']
مفروض;arabic;clean;مفروض;['مفروض']
مفزع;arabic;toxic;مفزع;['مفزع']
مفضّل;arabic;clean;مفضل;['مفضل']
مفقود;arabic;toxic;مفقود;['مفقود']
مفكّك;arabic;toxic;مفكك;['مفكك']
مفهوم;arabic;clean;مفهوم;['مفهوم']
مفيد;arabic;clean;مفيد;['مفيد']
مقاعد المجذفين;arabic;clean;مقاعد المجذفين;['مقاعد', 'المجذفين']
مقبّل;arabic;clean;مقبل;['مقبل']
مقبول;arabic;clean;مقبول;['مقبول']
مقتنع;arabic;clean;مقتنع;['مقتنع']
مقتول;arabic;toxic;مقتول;['مقتول']
مقدر;arabic;clean;مقدر;['مقدر']
مقدم العطاء;arabic;clean;مقدم العطاء;['مقدم', 'العطاء']
مقرّر;arabic;clean;مقرر;['مقرر']
مقرف;arabic;toxic;مقرف;['مقرف']
مقزز بدرجة كبيرة;arabic;toxic;مقزز بدرجه كبيره;['مقزز', 'بدرجه', 'كبيره']
مقطّع;arabic;toxic;مقطع;['مقطع']
مقطوع;arabic;toxic;مقطوع;['مقطوع']
مقّيد;arabic;toxic;مقيد;['مقيد']
مقلق;arabic;toxic;مقلق;['مقلق']
مقنع;arabic;clean;مقنع;['مقنع']
مقوّض;arabic;clean;مقوض;['مقوض']
مقوّى;arabic;clean;مقوي;['مقوي']
مقيت;arabic;clean;مقيت;['مقيت']
مقيّم;arabic;clean;مقيم;['مقيم']
مكافأ;arabic;clean;مكافا;['مكافا']
مكافئ;arabic;clean;مكافي;['مكافي']
مكافئون;arabic;clean;مكافيون;['مكافيون']
مكافح;arabic;clean;مكافح;['مكافح']
مكبوت;arabic;toxic;مكبوت;['مكبوت']
مكرّس;arabic;clean;مكرس;['مكرس']
مكرَّم;arabic;clean;مكرم;['مكرم']
مكروه;arabic;toxic;مكروه;['مكروه']
مكسّر;arabic;toxic;مكسر;['مكسر']
ملتزم;arabic;clean;ملتزم;['ملتزم']
ملتهب;arabic;toxic;ملتهب;['ملتهب']
ملحّ;arabic;clean;ملح;['ملح']
ملخبط;arabic;clean;ملخبط;['ملخبط']
ملعون;arabic;toxic;ملعون;['ملعون']
ملغي;arabic;clean;ملغي;['ملغي']
ملقّن;arabic;clean;ملقن;['ملقن']
ملَكَة;arabic;clean;ملكه;['ملكه']
ملهم;arabic;clean;ملهم;['ملهم']
ملوّث;arabic;toxic;ملوث;['ملوث']
مليّن;arabic;clean;ملين;['ملين']
ممتاز;arabic;clean;ممتاز;['ممتاز']
مملّ;arabic;toxic;ممل;['ممل']
ممنوع;arabic;toxic;ممنوع;['ممنوع']
من المحزن;arabic;clean;المحزن;['المحزن']
مناسب;arabic;clean;مناسب;['مناسب']
مُناضَلة;arabic;clean;مناضله;['مناضله']
منافق;arabic;toxic;منافق;['منافق']
مناقض;arabic;toxic;مناقض;['مناقض']
منبوذ;arabic;toxic;منبوذ;['منبوذ']
منتشي;arabic;clean;منتشي;['منتشي']
منتصر;arabic;clean;منتصر;['منتصر']
منتقد;arabic;toxic;منتقد;['منتقد']
منتهك;arabic;toxic;منتهك;['منتهك']
منجز;arabic;clean;منجز;['منجز']
مُنجز باتقان;arabic;clean;منجز باتقان;['منجز', 'باتقان']
منحرف;arabic;toxic;منحرف;['منحرف']
منحلّ، غير أخلاقي;arabic;toxic;منحل اخلاقي;['منحل', 'اخلاقي']
منحوس;arabic;toxic;منحوس;['منحوس']
مندفع;arabic;toxic;مندفع;['مندفع']
مندهش;arabic;clean;مندهش;['مندهش']
منزعج;arabic;toxic;منزعج;['منزعج']
منسجم;arabic;clean;منسجم;['منسجم']
منسّق;arabic;clean;منسق;['منسق']
منسوخ;arabic;toxic;منسوخ;['منسوخ']
منسوف;arabic;toxic;منسوف;['منسوف']
منسي;arabic;clean;منسي;['منسي']
منشد الكمال;arabic;clean;منشد الكمال;['منشد', 'الكمال']
منشدو الكمال;arabic;clean;منشدو الكمال;['منشدو', 'الكمال']
منشّط;arabic;clean;منشط;['منشط']
منطلق;arabic;clean;منطلق;['منطلق']
منفتح;arabic;clean;منفتح;['منفتح']
منفّر;arabic;toxic;منفر;['منفر']
منقذ;arabic;clean;منقذ;['منقذ']
منقسم;arabic;clean;منقسم;['منقسم']
منكر;arabic;clean;منكر;['منكر']
منكوب;arabic;toxic;منكوب;['منكوب']
منهار;arabic;toxic;منهار;['منهار']
منهجي;arabic;clean;منهجي;['منهجي']
منيع;arabic;clean;منيع;['منيع']
مهان;arabic;toxic;مهان;['مهان']
مهتما;arabic;clean;مهتما;['مهتما']
مهتمّ;arabic;clean;مهتم;['مهتم']
مهجور;arabic;clean;مهجور;['مهجور']
مهدّأ;arabic;clean;مهدا;['مهدا']
مُهدّد;arabic;toxic;مهدد;['مهدد']
مهذّب;arabic;toxic;مهذب;['مهذب']
مهرّب;arabic;toxic;مهرب;['مهرب']
مهزوز;arabic;toxic;مهزوز;['مهزوز']
مهزوم;arabic;toxic;مهزوم;['مهزوم']
مهم;arabic;clean;مهم;['مهم']
مهمل;arabic;toxic;مهمل;['مهمل']
مهوس;arabic;toxic;مهوس;['مهوس']
مهيمن;arabic;toxic;مهيمن;['مهيمن']
مواجه;arabic;clean;مواجه;['مواجه']
موافقة;arabic;clean;موافقه;['موافقه']
موالي;arabic;clean;موالي;['موالي']
موثوق;arabic;clean;موثوق;['موثوق']
موجع;arabic;clean;موجع;['موجع']
موحّد;arabic;clean;موحد;['موحد']
موسّخ;arabic;clean;موسخ;['موسخ']
موصّى ب;arabic;clean;موصي;['موصي']
موصّى به;arabic;clean;موصي;['موصي']
موعود;arabic;clean;موعود;['موعود']
موقع الدفاع;arabic;clean;موقع الدفاع;['موقع', 'الدفاع']
مولع;arabic;clean;مولع;['مولع']
موهوب;arabic;clean;موهوب;['موهوب']
ميئوس;arabic;toxic;مييوس;['مييوس']
ميادين القتال;arabic;toxic;ميادين القتال;['ميادين', 'القتال']
ميت;arabic;toxic;ميت;['ميت']
ميدان القتال;arabic;toxic;ميدان القتال;['ميدان', 'القتال']
ميمون;arabic;clean;ميمون;['ميمون']
ميّال الى الكمال;arabic;clean;ميال الي الكمال;['ميال', 'الي', 'الكمال']
ناجح;arabic;clean;ناجح;['ناجح']
نادم;arabic;toxic;نادم;['نادم']
ناري;arabic;toxic;ناري;['ناري']
ناقض;arabic;toxic;ناقض;['ناقض']
ناكر الجميل;arabic;toxic;ناكر الجميل;['ناكر', 'الجميل']
نتن;arabic;toxic;نتن;['نتن']
نزاعيّ;arabic;toxic;نزاعي;['نزاعي']
نسّق;arabic;clean;نسق;['نسق']
نشّط;arabic;clean;نشط;['نشط']
نشيط;arabic;clean;نشيط;['نشيط']
نظيف;arabic;clean;نظيف;['نظيف']
نقاط الضعف;arabic;clean;نقاط الضعف;['نقاط', 'الضعف']
نمطي;arabic;clean;نمطي;['نمطي']
نوبات الغضب;arabic;toxic;نوبات الغضب;['نوبات', 'الغضب']
نوبة الغضب;arabic;toxic;نوبه الغضب;['نوبه', 'الغضب']
نوبل;arabic;clean;نوبل;['نوبل']
هائل;arabic;clean;هايل;['هايل']
هاتف;arabic;clean;هاتف;['هاتف']
هادئ;arabic;clean;هادي;['هادي']
هادم اللّذّات;arabic;toxic;هادم اللذات;['هادم', 'اللذات']
هامّ;arabic;clean;هام;['هام']
هانئ;arabic;clean;هاني;['هاني']
هتاف اشمئزاز;arabic;toxic;هتاف اشميزاز;['هتاف', 'اشميزاز']
هجوم;arabic;toxic;هجوم;['هجوم']
هدّأ;arabic;clean;هدا;['هدا']
هدَّأ;arabic;clean;هدا;['هدا']
هدِّئ;arabic;clean;هدي;['هدي']
هدّام;arabic;toxic;هدام;['هدام']
هدّد;arabic;toxic;هدد;['هدد']
هرّب;arabic;toxic;هرب;['هرب']
هزلي;arabic;toxic;هزلي;['هزلي']
هزم;arabic;toxic;هزم;['هزم']
هستيري;arabic;clean;هستيري;['هستيري']
هلّل;arabic;clean;هلل;['هلل']
هنّئ;arabic;clean;هني;['هني']
هيّب;arabic;clean;هيب;['هيب']
واثق;arabic;clean;واثق;['واثق']
واجه;arabic;clean;واجه;['واجه']
واصل;arabic;clean;واصل;['واصل']
واضح;arabic;clean;واضح;['واضح']
وافق;arabic;clean;وافق;['وافق']
وجه مبتسم;arabic;clean;وجه مبتسم;['وجه', 'مبتسم']
وحشي;arabic;toxic;وحشي;['وحشي']
وحيد;arabic;clean;وحيد;['وحيد']
وحيدا;arabic;clean;وحيدا;['وحيدا']
وحيدًا;arabic;clean;وحيدا;['وحيدا']
ودّي;arabic;clean;ودي;['ودي']
وسائل الحماية;arabic;clean;وسايل الحمايه;['وسايل', 'الحمايه']
وسيم;arabic;clean;وسيم;['وسيم']
وصّ به;arabic;clean;وص;['وص']
وعد بدفع الدين أو المستحقات;arabic;clean;وعد بدفع الدين او المستحقات;['وعد', 'بدفع', 'الدين', 'او', 'المستحقات']
وغد;arabic;toxic;وغد;['وغد']
وفي;arabic;clean;وفي;['وفي']
وقت السلام;arabic;clean;وقت السلام;['وقت', 'السلام']
وقح;arabic;toxic;وقح;['وقح']
وقور;arabic;clean;وقور;['وقور']
وهمي;arabic;toxic;وهمي;['وهمي']
يؤجّل;arabic;clean;يوجل;['يوجل']
يآذي;arabic;toxic;ياذي;['ياذي']
يؤكّد;arabic;clean;يوكد;['يوكد']
يئنّ;arabic;clean;يين;['يين']
يائس;arabic;clean;يايس;['يايس']
يبارك;arabic;clean;يبارك;['يبارك']
يبالغ;arabic;clean;يبالغ;['يبالغ']
يبالغ في تبسيط;arabic;clean;يبالغ تبسيط;['يبالغ', 'تبسيط']
يبتدع;arabic;clean;يبتدع;['يبتدع']
يبرّيء;arabic;clean;يبريء;['يبريء']
يبرع;arabic;clean;يبرع;['يبرع']
يبسّط;arabic;clean;يبسط;['يبسط']
يبكي;arabic;clean;يبكي;['يبكي']
يبلّد;arabic;toxic;يبلد;['يبلد']
يبهج;arabic;clean;يبهج;['يبهج']
يتبنّى;arabic;clean;يتبني;['يتبني']
يتّفق;arabic;clean;يتفق;['يتفق']
يتّهم;arabic;toxic;يتهم;['يتهم']
يتجادل;arabic;clean;يتجادل;['يتجادل']
يتجمّد;arabic;clean;يتجمد;['يتجمد']
يتجنّب;arabic;clean;يتجنب;['يتجنب']
يتحسّن;arabic;clean;يتحسن;['يتحسن']
يتخبّط;arabic;clean;يتخبط;['يتخبط']
يتخلّى عن;arabic;clean;يتخلي;['يتخلي']
يتردّد;arabic;clean;يتردد;['يتردد']
يترصّد;arabic;toxic;يترصد;['يترصد']
يترك;arabic;clean;يترك;['يترك']
يتقن;arabic;clean;يتقن;['يتقن']
يتم;arabic;clean;يتم;['يتم']
يتمتّع به;arabic;toxic;يتمتع;['يتمتع']
يتنازل عن;arabic;clean;يتنازل;['يتنازل']
يتوتّر;arabic;clean;يتوتر;['يتوتر']
يتوجّس;arabic;clean;يتوجس;['يتوجس']
يتوسّع;arabic;clean;يتوسع;['يتوسع']
يثبّط عزيمة;arabic;clean;يثبط عزيمه;['يثبط', 'عزيمه']
يثير;arabic;clean;يثير;['يثير']
