text;label;language;tokens
ما شاء الله عليك مبدع;clean;ar;['ما', 'شاء', 'الله', 'عليك', 'مبدع']
ناقشت الموضوع بذكاء;clean;ar;['ناقشت', 'الموضوع', 'بذكاء']
ردودك لطيفه ومحترمه;clean;ar;['ردودك', 'لطيفه', 'ومحترمه']
شكراً علي تعاونك;clean;ar;['شكراً', 'علي', 'تعاونك']
محتوي جاد ومفيد فعلًا;clean;ar;['محتوي', 'جاد', 'ومفيد', 'فعلًا']
النقاش بوجودك احلي;clean;ar;['النقاش', 'بوجودك', 'احلي']
بوست محفز جدًا;clean;ar;['بوست', 'محفز', 'جدًا']
كلامك فعلاً واقعي;clean;ar;['كلامك', 'فعلاً', 'واقعي']
شكراً انك بتساعد الطلاب والخريجين;clean;ar;['شكراً', 'انك', 'بتساعد', 'الطلاب', 'والخريجين']
اجابه ممتازه;clean;ar;['اجابه', 'ممتازه']
معلومات مرتبه بشكل حلو;clean;ar;['معلومات', 'مرتبه', 'بشكل', 'حلو']
اسلوبك هادي وراقي;clean;ar;['اسلوبك', 'هادي', 'وراقي']
مشاركه دسمه بالمعلومات;clean;ar;['مشاركه', 'دسمه', 'بالمعلومات']
شكراً انك اوضحت التفاصيل;clean;ar;['شكراً', 'انك', 'اوضحت', 'التفاصيل']
شرحك بسيط ومباشر;clean;ar;['شرحك', 'بسيط', 'ومباشر']
ردودك بتفتح مساحه للنقاش;clean;ar;['ردودك', 'بتفتح', 'مساحه', 'للنقاش']
مشاركه تثري المحتوي;clean;ar;['مشاركه', 'تثري', 'المحتوي']
كلام موزون وله معني;clean;ar;['كلام', 'موزون', 'وله', 'معني']
فعلاً دا افضل مثال;clean;ar;['فعلاً', 'دا', 'افضل', 'مثال']
الطرح محترم جدًا;clean;ar;['الطرح', 'محترم', 'جدًا']
شكراً لوقتك;clean;ar;['شكراً', 'لوقتك']
جمله مختصره لكن مفيده;clean;ar;['جمله', 'مختصره', 'لكن', 'مفيده']
محتوي مثري فعلاً;clean;ar;['محتوي', 'مثري', 'فعلاً']
شكراً لمجهودك;clean;ar;['شكراً', 'لمجهودك']
التسلسل منطقي جدًا;clean;ar;['التسلسل', 'منطقي', 'جدًا']
تعليقك جميل;clean;ar;['تعليقك', 'جميل']
اسلوب محترم كالعاده;clean;ar;['اسلوب', 'محترم', 'كالعاده']
نقاش بناء جدًا;clean;ar;['نقاش', 'بناء', 'جدًا']
وجهه نظرك مقنعه;clean;ar;['وجهه', 'نظرك', 'مقنعه']
تحليل رايق وواضح;clean;ar;['تحليل', 'رايق', 'وواضح']
شكراً لدعمك لزمايلك;clean;ar;['شكراً', 'لدعمك', 'لزمايلك']
كلامك مشجع;clean;ar;['كلامك', 'مشجع']
فكره ممتازه للتطوير;clean;ar;['فكره', 'ممتازه', 'للتطوير']
شرحك رايع فعلًا;clean;ar;['شرحك', 'رايع', 'فعلًا']
تعليق جميل وبسيط;clean;ar;['تعليق', 'جميل', 'وبسيط']
وجودك في النقاش بيضيف كتير;clean;ar;['وجودك', 'في', 'النقاش', 'بيضيف', 'كتير']
مشاركه محترمه جدًا;clean;ar;['مشاركه', 'محترمه', 'جدًا']
شكراً انك شرحتها بالطريقه دي;clean;ar;['شكراً', 'انك', 'شرحتها', 'بالطريقه', 'دي']
رد منظم ومباشر;clean;ar;['رد', 'منظم', 'ومباشر']
طرح قريب للواقع جدًا;clean;ar;['طرح', 'قريب', 'للواقع', 'جدًا']
احببت طريقه عرضك;clean;ar;['احببت', 'طريقه', 'عرضك']
كلام عملي وواضح;clean;ar;['كلام', 'عملي', 'وواضح']
مشاركه مفيده جدًا;clean;ar;['مشاركه', 'مفيده', 'جدًا']
نعم، اتفق معك;clean;ar;['نعم،', 'اتفق', 'معك']
توضيحك جميل;clean;ar;['توضيحك', 'جميل']
شكراً علي المعلومه;clean;ar;['شكراً', 'علي', 'المعلومه']
نقاش هادي ومفيد;clean;ar;['نقاش', 'هادي', 'ومفيد']
طرحك راقي جدًا;clean;ar;['طرحك', 'راقي', 'جدًا']
محتوي ثري وملموس;clean;ar;['محتوي', 'ثري', 'وملموس']
اجابه دقيقه;clean;ar;['اجابه', 'دقيقه']
شكراً لمشاركتك الايجابيه;clean;ar;['شكراً', 'لمشاركتك', 'الايجابيه']
كلام لطيف قوي;clean;ar;['كلام', 'لطيف', 'قوي']
فكره عبقريه;clean;ar;['فكره', 'عبقريه']
اسلوب ممتاز;clean;ar;['اسلوب', 'ممتاز']
تعليق مفيد للكل;clean;ar;['تعليق', 'مفيد', 'للكل']
شكراً لدعمك;clean;ar;['شكراً', 'لدعمك']
رد منظم وجميل;clean;ar;['رد', 'منظم', 'وجميل']
شكراً علي وقتك ومبادرتك الطيبه;clean;ar;['شكراً', 'علي', 'وقتك', 'ومبادرتك', 'الطيبه']
شاركه تضيف قيمه بالفعل;clean;ar;['شاركه', 'تضيف', 'قيمه', 'بالفعل']
انت ما بتفهمش يا عم، بوست زي دا ليه تعملُه شير؟;toxic;ar;['انت', 'ما', 'بتفهمش', 'يا', 'عم،', 'بوست', 'زي', 'دا', 'ليه', 'تعملُه', 'شير؟']
الكومنت بتاعك ملوش اي معني، اتعلم تكتب;toxic;ar;['الكومنت', 'بتاعك', 'ملوش', 'اي', 'معني،', 'اتعلم', 'تكتب']
البوست دا ساذج جدًا ومفيهوش اي قيمه;toxic;ar;['البوست', 'دا', 'ساذج', 'جدًا', 'ومفيهوش', 'اي', 'قيمه']
ايه التخلف دا؟ بتكتبوا كدا ليه؟;toxic;ar;['ايه', 'التخلف', 'دا؟', 'بتكتبوا', 'كدا', 'ليه؟']
واضح انك مش فاهم حاجه في مجالك;toxic;ar;['واضح', 'انك', 'مش', 'فاهم', 'حاجه', 'في', 'مجالك']
دا اسوا راي شوفته في الجروب كله;toxic;ar;['دا', 'اسوا', 'راي', 'شوفته', 'في', 'الجروب', 'كله']
انت بتجادل لمجرد الجدال بس;toxic;ar;['انت', 'بتجادل', 'لمجرد', 'الجدال', 'بس']
شكلك ماجربتش تذاكر قبل ما ترد;toxic;ar;['شكلك', 'ماجربتش', 'تذاكر', 'قبل', 'ما', 'ترد']
استاف ايه بس؟ دا كلام اطفال;toxic;ar;['استاف', 'ايه', 'بس؟', 'دا', 'كلام', 'اطفال']
متعملوش نفسكم فاهمين وانتم مش كدا;toxic;ar;['متعملوش', 'نفسكم', 'فاهمين', 'وانتم', 'مش', 'كدا']
ردك مستفز جدًا ومليان غباء;toxic;ar;['ردك', 'مستفز', 'جدًا', 'ومليان', 'غباء']
يا عم انت امسح البوست احسن;toxic;ar;['يا', 'عم', 'انت', 'امسح', 'البوست', 'احسن']
واضح انك بتتمنظر علي الفاضي;toxic;ar;['واضح', 'انك', 'بتتمنظر', 'علي', 'الفاضي']
مستوي كومنتاتك يكسف بجد;toxic;ar;['مستوي', 'كومنتاتك', 'يكسف', 'بجد']
دا محتوي ضعيف ومش مناسب لصفحه خريجين;toxic;ar;['دا', 'محتوي', 'ضعيف', 'ومش', 'مناسب', 'لصفحه', 'خريجين']
انت كل شويه تنزل بوست مالوش لازمه؟;toxic;ar;['انت', 'كل', 'شويه', 'تنزل', 'بوست', 'مالوش', 'لازمه؟']
بوستك فيه الف غلطه املاييه، عيب عليك;toxic;ar;['بوستك', 'فيه', 'الف', 'غلطه', 'املاييه،', 'عيب', 'عليك']
انت مش محترم في طريقه كلامك;toxic;ar;['انت', 'مش', 'محترم', 'في', 'طريقه', 'كلامك']
يا ريت تمسك نفسك شويه بدل الاسلوب دا;toxic;ar;['يا', 'ريت', 'تمسك', 'نفسك', 'شويه', 'بدل', 'الاسلوب', 'دا']
بتتكلموا كتير ومفيش فايده;toxic;ar;['بتتكلموا', 'كتير', 'ومفيش', 'فايده']
النص دا كانه كتبه طفل;toxic;ar;['النص', 'دا', 'كانه', 'كتبه', 'طفل']
انت مش بس غلطان انت مضيع وقتنا كمان;toxic;ar;['انت', 'مش', 'بس', 'غلطان', 'انت', 'مضيع', 'وقتنا', 'كمان']
ايه الكومنت السخيف دا؟;toxic;ar;['ايه', 'الكومنت', 'السخيف', 'دا؟']
بقيتوا جروب فوضي بجد;toxic;ar;['بقيتوا', 'جروب', 'فوضي', 'بجد']
شكلك بتحاول تعمل شو وخلاص;toxic;ar;['شكلك', 'بتحاول', 'تعمل', 'شو', 'وخلاص']
ردك مالوش لازمه نهايي;toxic;ar;['ردك', 'مالوش', 'لازمه', 'نهايي']
دا مش نقاش دا هزار بايخ;toxic;ar;['دا', 'مش', 'نقاش', 'دا', 'هزار', 'بايخ']
اسلوبك مستفز ومش مقبول هنا;toxic;ar;['اسلوبك', 'مستفز', 'ومش', 'مقبول', 'هنا']
انت بتتكلم من غير ما تفكر;toxic;ar;['انت', 'بتتكلم', 'من', 'غير', 'ما', 'تفكر']
بطل تنشر اي كلام;toxic;ar;['بطل', 'تنشر', 'اي', 'كلام']
بتعمل دراما زياده عن اللزوم;toxic;ar;['بتعمل', 'دراما', 'زياده', 'عن', 'اللزوم']
ردودك بتقلل من قيمه الجروب;toxic;ar;['ردودك', 'بتقلل', 'من', 'قيمه', 'الجروب']
واضح ان دا مش مجالك اسكت بس;toxic;ar;['واضح', 'ان', 'دا', 'مش', 'مجالك', 'اسكت', 'بس']
محتواك تعبان جدًا;toxic;ar;['محتواك', 'تعبان', 'جدًا']
انت بتتناقش كانك في خناقه;toxic;ar;['انت', 'بتتناقش', 'كانك', 'في', 'خناقه']
اسلوبك هجومي من غير داعي;toxic;ar;['اسلوبك', 'هجومي', 'من', 'غير', 'داعي']
مش كل بوست لازم تعلق عليه يا فالح;toxic;ar;['مش', 'كل', 'بوست', 'لازم', 'تعلق', 'عليه', 'يا', 'فالح']
انت فاكر نفسك مهم؟;toxic;ar;['انت', 'فاكر', 'نفسك', 'مهم؟']
كومنتك متعالي ومحدش سالك;toxic;ar;['كومنتك', 'متعالي', 'ومحدش', 'سالك']
اللي بتقوله دا غلط وغبي;toxic;ar;['اللي', 'بتقوله', 'دا', 'غلط', 'وغبي']
انت بتتكلم بوقاحه واضحه;toxic;ar;['انت', 'بتتكلم', 'بوقاحه', 'واضحه']
الطريقه اللي بترد بيها غير محترمه;toxic;ar;['الطريقه', 'اللي', 'بترد', 'بيها', 'غير', 'محترمه']
انت بتتخيل انك فاهم؟ لا;toxic;ar;['انت', 'بتتخيل', 'انك', 'فاهم؟', 'لا']
انت مكبر الموضوع وهو تافه;toxic;ar;['انت', 'مكبر', 'الموضوع', 'وهو', 'تافه']
انت فاكر نفسك احسن من الناس؟;toxic;ar;['انت', 'فاكر', 'نفسك', 'احسن', 'من', 'الناس؟']
كلامك فارغ وما يستاهلش رد;toxic;ar;['كلامك', 'فارغ', 'وما', 'يستاهلش', 'رد']
يا ريت تهدي بدل الاسلوب دا;toxic;ar;['يا', 'ريت', 'تهدي', 'بدل', 'الاسلوب', 'دا']
انت بتسخّن النقاش من غير سبب;toxic;ar;['انت', 'بتسخّن', 'النقاش', 'من', 'غير', 'سبب']
الرد دا ملوش اي علاقه بالموضوع;toxic;ar;['الرد', 'دا', 'ملوش', 'اي', 'علاقه', 'بالموضوع']
بطل تفتي في اللي ما تعرفوش;toxic;ar;['بطل', 'تفتي', 'في', 'اللي', 'ما', 'تعرفوش']
واضح انك معقد الموضوع علي الفاضي;toxic;ar;['واضح', 'انك', 'معقد', 'الموضوع', 'علي', 'الفاضي']
يا عم ركّز بدل الكلام الفاضي;toxic;ar;['يا', 'عم', 'ركّز', 'بدل', 'الكلام', 'الفاضي']
انت بترد بطريقه شبه اهانه;toxic;ar;['انت', 'بترد', 'بطريقه', 'شبه', 'اهانه']
خليك مهذب شويه;toxic;ar;['خليك', 'مهذب', 'شويه']
انت بتعمل مشاكل من الهوا;toxic;ar;['انت', 'بتعمل', 'مشاكل', 'من', 'الهوا']
الموضوع بسيط وانت مكبّره;toxic;ar;['الموضوع', 'بسيط', 'وانت', 'مكبّره']
ردودك سلبيه ومستفزه;toxic;ar;['ردودك', 'سلبيه', 'ومستفزه']
شكلك جاي تتخانق;toxic;ar;['شكلك', 'جاي', 'تتخانق']
انت واضح انك عصبي علي الفاضي;toxic;ar;['انت', 'واضح', 'انك', 'عصبي', 'علي', 'الفاضي']
اسلوبك يضايق اي حد;toxic;ar;['اسلوبك', 'يضايق', 'اي', 'حد']
الكومنت بتاعك جارح ومش لايق;toxic;ar;['الكومنت', 'بتاعك', 'جارح', 'ومش', 'لايق']
ليه بتتكلم كدا؟;toxic;ar;['ليه', 'بتتكلم', 'كدا؟']
انت بتهاجم الكل من غير سبب;toxic;ar;['انت', 'بتهاجم', 'الكل', 'من', 'غير', 'سبب']
انت فاكر انك كدا قوي؟;toxic;ar;['انت', 'فاكر', 'انك', 'كدا', 'قوي؟']
ردك فيه تنمّر واضح;toxic;ar;['ردك', 'فيه', 'تنمّر', 'واضح']
بلاش استفزاز;toxic;ar;['بلاش', 'استفزاز']
انت بتتكلم كانك رييس الجروب;toxic;ar;['انت', 'بتتكلم', 'كانك', 'رييس', 'الجروب']
بتهري كتير ومفيش معلومه;toxic;ar;['بتهري', 'كتير', 'ومفيش', 'معلومه']
انت مضيع وقتنا;toxic;ar;['انت', 'مضيع', 'وقتنا']
البوست بتاعك كله غلط;toxic;ar;['البوست', 'بتاعك', 'كله', 'غلط']
انت بتسيء للناس باسلوبك;toxic;ar;['انت', 'بتسيء', 'للناس', 'باسلوبك']
دا محتوي رديء جدًا;toxic;ar;['دا', 'محتوي', 'رديء', 'جدًا']
بطل استظراف;toxic;ar;['بطل', 'استظراف']
انت بتعمّل مشاكل دايمًا;toxic;ar;['انت', 'بتعمّل', 'مشاكل', 'دايمًا']
كلامك مش محترم;toxic;ar;['كلامك', 'مش', 'محترم']
انت بترد كانك في خناقه شوارع;toxic;ar;['انت', 'بترد', 'كانك', 'في', 'خناقه', 'شوارع']
ايه الاسلوب دا؟;toxic;ar;['ايه', 'الاسلوب', 'دا؟']
خفوا الغباء شويه;toxic;ar;['خفوا', 'الغباء', 'شويه']
انت بتتكلم بقله ذوق;toxic;ar;['انت', 'بتتكلم', 'بقله', 'ذوق']
البوست دا يضحك من كتر ما هو وحش;toxic;ar;['البوست', 'دا', 'يضحك', 'من', 'كتر', 'ما', 'هو', 'وحش']
انت مش جادّ نهايي;toxic;ar;['انت', 'مش', 'جادّ', 'نهايي']
واضح انك ناقص خبره ومعلومات;toxic;ar;['واضح', 'انك', 'ناقص', 'خبره', 'ومعلومات']
مالك بتتنرفز علي الناس؟;toxic;ar;['مالك', 'بتتنرفز', 'علي', 'الناس؟']
انت بتستفز كل اللي هنا;toxic;ar;['انت', 'بتستفز', 'كل', 'اللي', 'هنا']
اسلوبك غير مقبول في اي جروب;toxic;ar;['اسلوبك', 'غير', 'مقبول', 'في', 'اي', 'جروب']
ردك مالوش قيمه;toxic;ar;['ردك', 'مالوش', 'قيمه']
انت بتتكلم بسطحيه شديده;toxic;ar;['انت', 'بتتكلم', 'بسطحيه', 'شديده']
بلاش تعمل نفسك فاهم كل حاجه;toxic;ar;['بلاش', 'تعمل', 'نفسك', 'فاهم', 'كل', 'حاجه']
ردك كله هجوم;toxic;ar;['ردك', 'كله', 'هجوم']
يا ريت توقف عدوانيتك;toxic;ar;['يا', 'ريت', 'توقف', 'عدوانيتك']
انت بتكتب كلام جارح;toxic;ar;['انت', 'بتكتب', 'كلام', 'جارح']
ردك غير مسوول نهايي;toxic;ar;['ردك', 'غير', 'مسوول', 'نهايي']
كومنتك هابط جدًا;toxic;ar;['كومنتك', 'هابط', 'جدًا']
البوست دا شتيمه للمحتوي فعلاً;toxic;ar;['البوست', 'دا', 'شتيمه', 'للمحتوي', 'فعلاً']
انت بتقلل من الكل;toxic;ar;['انت', 'بتقلل', 'من', 'الكل']
بطل وقاحه;toxic;ar;['بطل', 'وقاحه']
ردك همجي بزياده;toxic;ar;['ردك', 'همجي', 'بزياده']
اسلوبك مش بتاع خريجين بصراحه;toxic;ar;['اسلوبك', 'مش', 'بتاع', 'خريجين', 'بصراحه']
انت بتهاجم الشخص مش الفكره;toxic;ar;['انت', 'بتهاجم', 'الشخص', 'مش', 'الفكره']
بطل نقص عقل;toxic;ar;['بطل', 'نقص', 'عقل']
يوم جميل بدات فيه تدريب جديد، دعواتكم;clean;ar;['يوم', 'جميل', 'بدات', 'فيه', 'تدريب', 'جديد،', 'دعواتكم']
فخور جدًا بفريق المشروع بتاعنا، شغل مشرف;clean;ar;['فخور', 'جدًا', 'بفريق', 'المشروع', 'بتاعنا،', 'شغل', 'مشرف']
شاركوا البوست دا مع صحابكم يمكن حد يستفيد;clean;ar;['شاركوا', 'البوست', 'دا', 'مع', 'صحابكم', 'يمكن', 'حد', 'يستفيد']
لو حد محتاج شرح لاي ماده انا موجوده اساعد;clean;ar;['لو', 'حد', 'محتاج', 'شرح', 'لاي', 'ماده', 'انا', 'موجوده', 'اساعد']
شكرا لكل الناس اللي وقفت معايا الفتره دي;clean;ar;['شكرا', 'لكل', 'الناس', 'اللي', 'وقفت', 'معايا', 'الفتره', 'دي']
مشوار طويل بس ممتع اهم حاجه الاستمرار;clean;ar;['مشوار', 'طويل', 'بس', 'ممتع', 'اهم', 'حاجه', 'الاستمرار']
استمتع بحياتك، خليك ايجابي;clean;ar;['استمتع', 'بحياتك،', 'خليك', 'ايجابي']
يوم جديد، فرص جديده;clean;ar;['يوم', 'جديد،', 'فرص', 'جديده']
رمضان كريم علي الجميع;clean;ar;['رمضان', 'كريم', 'علي', 'الجميع']
حابب اشكر الدكاتره علي دعمهم المستمر لينا في مشروع التخرج;clean;ar;['حابب', 'اشكر', 'الدكاتره', 'علي', 'دعمهم', 'المستمر', 'لينا', 'في', 'مشروع', 'التخرج']
مبروك لكل زمايلي اللي اتخرجوا السنه دي مستقبل رايع مستنيكم;clean;ar;['مبروك', 'لكل', 'زمايلي', 'اللي', 'اتخرجوا', 'السنه', 'دي', 'مستقبل', 'رايع', 'مستنيكم']
صباح الخير يا جماعه، اتمني يوم موفق للجميع;clean;ar;['صباح', 'الخير', 'يا', 'جماعه،', 'اتمني', 'يوم', 'موفق', 'للجميع']
هل في حد يعرف موعد استلام الشهادات؟;clean;ar;['هل', 'في', 'حد', 'يعرف', 'موعد', 'استلام', 'الشهادات؟']
انا محتاج حد يرشحلي تدريب كويس في مجال البرمجه;clean;ar;['انا', 'محتاج', 'حد', 'يرشحلي', 'تدريب', 'كويس', 'في', 'مجال', 'البرمجه']
فخور جدًا بدفعتنا السنه دي;clean;ar;['فخور', 'جدًا', 'بدفعتنا', 'السنه', 'دي']
شكراً لكل اللي ساعدوني في البحث;clean;ar;['شكراً', 'لكل', 'اللي', 'ساعدوني', 'في', 'البحث']
هل في حد عنده خبرة في كتابة الـ CV؟;clean;mixed;['هل', 'في', 'حد', 'عنده', 'خبرة', 'في', 'كتابة', 'الـ', 'CV؟']
شكراً لكل اللي ساعدوني في البحث;clean;ar;['شكراً', 'لكل', 'اللي', 'ساعدوني', 'في', 'البحث']
يا ريت اللي محتاج مساعده في الكورس يكلمني;clean;ar;['يا', 'ريت', 'اللي', 'محتاج', 'مساعده', 'في', 'الكورس', 'يكلمني']
مبروك للناس اللي اتقبلت في الشركات الجديده;clean;ar;['مبروك', 'للناس', 'اللي', 'اتقبلت', 'في', 'الشركات', 'الجديده']
اتضفت النهارده للجروب، سعيد اني معاكم;clean;ar;['اتضفت', 'النهارده', 'للجروب،', 'سعيد', 'اني', 'معاكم']
هل في حد عنده جدول محاضرات السنه الجايه؟;clean;ar;['هل', 'في', 'حد', 'عنده', 'جدول', 'محاضرات', 'السنه', 'الجايه؟']
انا بدور علي جروب للمشاريع لو حد يعرف;clean;ar;['انا', 'بدور', 'علي', 'جروب', 'للمشاريع', 'لو', 'حد', 'يعرف']
ربنا يوفق كل الدفعات اللي جايه;clean;ar;['ربنا', 'يوفق', 'كل', 'الدفعات', 'اللي', 'جايه']
هل حد عنده نصائح لبدء تعلم الـ React؟;clean;mixed;['هل', 'حد', 'عنده', 'نصائح', 'لبدء', 'تعلم', 'الـ', 'React؟']
محتاج رايكم في مشروع تخرجي;clean;ar;['محتاج', 'رايكم', 'في', 'مشروع', 'تخرجي']
حد يعرف امتي هيتفتح التقديم علي التدريب السنوي؟;clean;ar;['حد', 'يعرف', 'امتي', 'هيتفتح', 'التقديم', 'علي', 'التدريب', 'السنوي؟']
شكراً للستاف علي دعمهم المستمر;clean;ar;['شكراً', 'للستاف', 'علي', 'دعمهم', 'المستمر']
يوم المناقشه كان من احلي ايام حياتي;clean;ar;['يوم', 'المناقشه', 'كان', 'من', 'احلي', 'ايام', 'حياتي']
ربنا ينجح الجميع ويكتبلكم اللي فيه الخير;clean;ar;['ربنا', 'ينجح', 'الجميع', 'ويكتبلكم', 'اللي', 'فيه', 'الخير']
لو حد محتاج ملفات تانيه للكورس يبعتلي;clean;ar;['لو', 'حد', 'محتاج', 'ملفات', 'تانيه', 'للكورس', 'يبعتلي']
كان يوم شغل ممتع في اللاب النهارده;clean;ar;['كان', 'يوم', 'شغل', 'ممتع', 'في', 'اللاب', 'النهارده']
حبيت اشارككم خبر تعييني في اول وظيفه ليا الحمد لله;clean;ar;['حبيت', 'اشارككم', 'خبر', 'تعييني', 'في', 'اول', 'وظيفه', 'ليا', 'الحمد', 'لله']
لو حد محتاج شرح في ماده معينه انا موجود;clean;ar;['لو', 'حد', 'محتاج', 'شرح', 'في', 'ماده', 'معينه', 'انا', 'موجود']
شكراً للدفعه كلها علي التعاون في المشروع الجماعي;clean;ar;['شكراً', 'للدفعه', 'كلها', 'علي', 'التعاون', 'في', 'المشروع', 'الجماعي']
تجربه التدريب الصيفي كانت مفيده جدًا، انصحكم تجربوا;clean;ar;['تجربه', 'التدريب', 'الصيفي', 'كانت', 'مفيده', 'جدًا،', 'انصحكم', 'تجربوا']
يا ريت اللي حضر ورشه النهارده يشارك الملخص;clean;ar;['يا', 'ريت', 'اللي', 'حضر', 'ورشه', 'النهارده', 'يشارك', 'الملخص']
الاداره اعلنت عن مواعيد التقديم للانشطه الجديده;clean;ar;['الاداره', 'اعلنت', 'عن', 'مواعيد', 'التقديم', 'للانشطه', 'الجديده']
اول يوم تدريب كان جميل ومليان تعلم;clean;ar;['اول', 'يوم', 'تدريب', 'كان', 'جميل', 'ومليان', 'تعلم']
حملت لكم ملفات الماتيريال علي الجروب;clean;ar;['حملت', 'لكم', 'ملفات', 'الماتيريال', 'علي', 'الجروب']
محتاج ترشيح لكورس كويس في Machine Learning;clean;mixed;['محتاج', 'ترشيح', 'لكورس', 'كويس', 'في', 'Machine', 'Learning']
كنت حابه اشكر المسوولين علي تنظيم الندوه;clean;ar;['كنت', 'حابه', 'اشكر', 'المسوولين', 'علي', 'تنظيم', 'الندوه']
انجاز جديد لدفعتنا فخورين بيكم;clean;ar;['انجاز', 'جديد', 'لدفعتنا', 'فخورين', 'بيكم']
هل في نسخة PDF من الكتاب ده؟;clean;mixed;['هل', 'في', 'نسخة', 'PDF', 'من', 'الكتاب', 'ده؟']
اللي عايز ينضم لفريق المشروع يكلمني خاص;clean;ar;['اللي', 'عايز', 'ينضم', 'لفريق', 'المشروع', 'يكلمني', 'خاص']
يوم المناقشه كان مليان لحظات حلوه;clean;ar;['يوم', 'المناقشه', 'كان', 'مليان', 'لحظات', 'حلوه']
يا ريت اللي عنده خبرة في Flutter يفيدني;clean;mixed;['يا', 'ريت', 'اللي', 'عنده', 'خبرة', 'في', 'Flutter', 'يفيدني']
نازل اهو صور الرحله الاخيره;clean;ar;['نازل', 'اهو', 'صور', 'الرحله', 'الاخيره']
مبسوطه جدًا اننا اخيرًا خلصنا المشروع;clean;ar;['مبسوطه', 'جدًا', 'اننا', 'اخيرًا', 'خلصنا', 'المشروع']
